,Any sexual assault (including attempts),,,Rape or assault by penetration (including attempts),,,Indecent exposure or unwanted sexual touching,,,Indecent exposure,,,Unwanted sexual touching,,,Unweighted base - number of adults4,,
Cosmopolitans,3.3,6.8,4.9,0.5,1.2,0.8,3.2,6.4,4.7,0.4,1.5,0.9,2.8,5.9,4.2,"1,074","1,068","2,142"
Ethnicity central,1.3,6.0,3.6,0.2,1.3,0.7,1.2,5.3,3.2,0.2,1.3,0.8,1.1,4.5,2.8,"1,353","1,534","2,887"
Multicultural metropolitans,1.5,2.8,2.1,0.2,0.9,0.5,1.4,2.2,1.8,0.4,1.0,0.7,1.1,1.6,1.4,"3,053","3,415","6,468"
Urbanites,0.8,3.2,2.0,0.0,0.7,0.3,0.8,3.1,1.9,0.2,0.7,0.4,0.6,2.6,1.6,"4,820","5,450","10,270"
Suburbanites,0.3,2.4,1.4,0.0,0.6,0.3,0.3,2.1,1.2,0.0,0.4,0.2,0.3,1.8,1.0,"5,320","5,861","11,181"
Constrained city dwellers,0.6,3.5,2.1,0.0,1.4,0.8,0.6,2.8,1.8,0.4,1.0,0.8,0.2,2.1,1.2,"1,499","1,982","3,481"
Hard-pressed living,0.3,2.6,1.6,0.1,0.7,0.4,0.3,2.3,1.4,0.1,0.7,0.4,0.2,2.0,1.1,"4,343","5,925","10,268"
,,,,,,,,,,,,,,,,,,
Area type,,,,,,,,,,,,,,,,,,
Urban,0.9,3.3,2.1,0.1,0.8,0.5,0.9,2.9,1.9,0.2,0.8,0.5,0.7,2.4,1.6,"19,447","22,749","42,196"
Rural,0.6,2.7,1.7,0.1,0.7,0.4,0.5,2.3,1.5,0.1,0.5,0.3,0.5,2.0,1.3,"5,327","6,292","11,619"
,,,,,,,,,,,,,,,,,,
Level of physical disorder,,,,,,,,,,,,,,,,,,
High,1.9,4.7,3.3,0.4,1.5,1.0,1.7,3.5,2.6,0.2,1.5,0.9,1.4,3.2,2.3,"1,173","1,437","2,610"
Not high,0.8,3.1,1.9,0.1,0.8,0.4,0.8,2.7,1.8,0.2,0.7,0.4,0.6,2.3,1.5,"23,525","27,528","51,053"
,,,,,,,,,,,,,,,,,,
English Index of Deprivation (Employment),,,,,,,,,,,,,,,,,,
20% most deprived output areas,0.9,3.5,2.3,0.1,1.0,0.6,0.8,3.0,2.0,0.3,1.3,0.8,0.6,2.2,1.5,"3,903","5,261","9,164"
Other output areas,0.9,3.2,2.0,0.1,0.8,0.5,0.8,2.9,1.8,0.2,0.6,0.4,0.6,2.5,1.6,"14,316","16,254","30,570"
20% least deprived output areas,0.8,2.7,1.7,0.0,0.6,0.3,0.8,2.4,1.6,0.2,0.4,0.3,0.7,2.2,1.4,"4,854","5,376","10,230"
,,,,,,,,,,,,,,,,,,
Welsh Indices of Deprivation (Employment),,,,,,,,,,,,,,,,,,
20% most deprived Output Areas,0.5,2.3,1.5,0.0,0.8,0.4,0.5,1.9,1.3,0.0,0.9,0.5,0.5,1.2,0.9,282,394,676
Other Output Areas,1.0,2.7,1.9,0.1,1.1,0.6,1.0,2.2,1.6,0.1,0.6,0.4,0.9,1.7,1.3,"1,073","1,374","2,447"
20% least deprived Output Areas,1.6,3.8,2.7,0.0,1.8,0.9,1.6,2.4,2.0,0.3,0.4,0.4,1.4,2.2,1.8,346,382,728
,,,,,,,,,,,,,,,,,,
English region and Wales,,,,,,,,,,,,,,,,,,
North East,0.3,1.5,0.9,0.1,0.2,0.1,0.2,1.4,0.8,0.1,0.4,0.2,0.1,1.1,0.6,"1,353","1,706","3,059"
North West,0.7,2.9,1.8,0.1,0.6,0.4,0.6,2.6,1.6,0.1,0.7,0.4,0.5,2.2,1.4,"3,112","3,657","6,769"
Yorkshire and the Humber,1.7,3.1,2.4,0.2,0.6,0.4,1.6,3.0,2.3,0.2,0.8,0.5,1.4,2.5,2.0,"2,155","2,577","4,732"
East Midlands,1.2,2.8,2.0,0.0,0.7,0.4,1.2,2.6,1.9,0.3,0.6,0.5,0.9,2.1,1.5,"2,252","2,624","4,876"
West Midlands,0.4,3.7,2.1,0.0,0.8,0.4,0.4,3.3,1.9,0.1,1.2,0.7,0.3,2.7,1.5,"2,216","2,593","4,809"
East,0.7,2.6,1.6,0.0,1.0,0.5,0.7,2.0,1.4,0.2,0.5,0.4,0.6,1.6,1.1,"2,666","3,185","5,851"
London,1.2,3.7,2.4,0.3,0.7,0.5,1.1,3.4,2.2,0.2,0.8,0.5,1.0,2.9,1.9,"3,082","3,554","6,636"
South East,0.6,3.1,1.8,0.0,0.7,0.4,0.6,2.6,1.6,0.2,0.6,0.4,0.4,2.3,1.3,"3,603","4,016","7,619"
South West,0.8,4.0,2.4,0.1,1.5,0.8,0.7,3.4,2.0,0.3,0.6,0.5,0.5,3.1,1.8,"2,634","2,979","5,613"
Wales,1.1,2.8,2.0,0.0,1.2,0.6,1.0,2.2,1.6,0.1,0.6,0.4,0.9,1.7,1.3,"1,701","2,150","3,851"
