,Any sexual assault (including attempts),,,Rape or assault by penetration (including attempts),,,Indecent exposure or unwanted sexual touching,,,Indecent exposure,,,Unwanted sexual touching,,,Unweighted base - number of adults4,,
Mixed - White and Black African,-,10.1,4.3,-,0.0,0.0,-,10.1,4.3,-,7.4,3.1,-,3.2,1.4,49,51,100
Mixed - White and Asian,0.0,6.9,3.3,0.0,1.2,0.6,0.0,6.9,3.3,0.0,0.0,0.0,0.0,6.9,3.3,95,91,186
Mixed - Any other Mixed/Multiple ethnic background,4.7,1.8,3.2,0.0,0.0,0.0,4.7,1.8,3.2,1.9,0.0,0.9,3.0,1.8,2.4,80,115,195
Asian or Asian British,0.6,2.4,1.4,0.1,0.6,0.4,0.5,2.3,1.3,0.1,1.1,0.5,0.4,1.4,0.9,"1,743","1,632","3,375"
Asian - Indian,1.0,2.2,1.5,0.2,0.6,0.4,0.8,2.0,1.3,0.0,0.8,0.4,0.8,1.2,1.0,726,627,"1,353"
Asian - Pakistani,0.0,2.2,1.0,0.0,1.0,0.4,0.0,2.1,1.0,0.0,1.3,0.6,0.0,1.3,0.6,414,380,794
Asian - Bangladeshi,0.9,0.5,0.7,0.0,0.0,0.0,0.9,0.5,0.7,0.0,0.6,0.2,0.9,0.0,0.5,169,135,304
Asian - Chinese,1.2,3.3,2.3,0.8,1.0,0.9,1.2,3.3,2.3,0.9,2.2,1.6,0.4,1.5,1.0,131,171,302
Asian - Any other Asian background,0.0,3.5,1.6,0.0,0.3,0.2,0.0,3.5,1.6,0.0,1.0,0.5,0.0,2.5,1.1,303,319,622
Black or Black British,1.0,4.4,2.9,0.3,0.7,0.5,0.8,4.3,2.7,0.1,1.3,0.8,0.6,3.7,2.3,638,952,"1,590"
Black - African,0.9,4.1,2.6,0.4,0.6,0.5,0.5,3.9,2.3,0.0,1.2,0.6,0.5,3.8,2.3,411,580,991
Black - Caribbean,0.5,4.5,2.9,0.0,1.2,0.7,0.5,4.5,2.9,0.5,1.2,0.9,0.0,3.3,2.0,180,305,485
Black - Any other Black/African/Caribbean background,-,6.5,5.4,-,0.0,0.0,-,6.5,5.4,-,2.9,1.6,-,3.7,3.8,47,67,114
Other ethnic group,0.4,1.2,0.8,0.2,0.5,0.4,0.4,1.2,0.8,0.2,0.5,0.4,0.2,1.2,0.7,237,243,480
Other ethnic group - Arab,1.1,0.8,0.9,0.6,0.8,0.7,1.1,0.8,0.9,0.6,0.8,0.7,0.5,0.8,0.7,91,90,181
Other ethnic group - Any other ethnic group,0.0,1.5,0.7,0.0,0.3,0.1,0.0,1.5,0.7,0.0,0.3,0.2,0.0,1.5,0.7,146,153,299
,,,,,,,,,,,,,,,,,,
Country of Birth,,,,,,,,,,,,,,,,,,
Born in the UK,0.9,3.3,2.1,0.1,0.9,0.5,0.9,2.9,1.9,0.2,0.7,0.4,0.7,2.4,1.6,"20,946","24,516","45,462"
Not born in the UK,0.7,2.5,1.6,0.2,0.4,0.3,0.6,2.3,1.5,0.1,1.0,0.6,0.5,1.8,1.1,"3,800","4,474","8,274"
,,,,,,,,,,,,,,,,,,
Marital status,,,,,,,,,,,,,,,,,,
Married,0.3,1.1,0.7,0.0,0.2,0.1,0.3,1.0,0.6,0.1,0.4,0.3,0.2,0.6,0.4,"12,444","12,822","25,266"
Cohabiting,0.7,3.4,2.1,0.0,0.8,0.4,0.7,2.9,1.8,0.1,0.9,0.5,0.6,2.5,1.5,"3,178","3,477","6,655"
Single,2.0,7.5,4.7,0.3,2.0,1.1,1.9,6.7,4.2,0.4,1.2,0.8,1.6,6.1,3.8,"6,360","7,074","13,434"
Separated,1.2,1.7,1.5,0.5,0.5,0.5,0.9,1.5,1.3,0.6,0.6,0.6,0.3,1.1,0.8,579,"1,016","1,595"
Divorced/legally dissolved partnership,0.5,2.5,1.8,0.1,0.7,0.5,0.4,1.9,1.4,0.2,0.7,0.5,0.4,1.3,1.0,"1,589","3,097","4,686"
Widowed,0.1,0.8,0.6,0.0,0.2,0.2,0.1,0.6,0.4,0.1,0.4,0.3,0.0,0.3,0.2,583,"1,496","2,079"
,,,,,,,,,,,,,,,,,,
Respondent's employment status,,,,,,,,,,,,,,,,,,
Employed,0.8,3.2,1.9,0.1,0.7,0.4,0.7,2.9,1.7,0.2,0.7,0.4,0.6,2.4,1.5,"17,853","18,746","36,599"
Unemployed,2.1,7.1,4.4,0.0,2.3,1.1,2.1,6.3,4.1,1.1,2.5,1.8,1.0,5.5,3.1,518,555,"1,073"
Inactive,1.0,2.7,2.0,0.0,0.9,0.5,0.9,2.4,1.8,0.1,0.6,0.4,0.9,1.9,1.5,"6,393","9,716","16,109"
Student,3.0,10.7,6.7,0.1,2.7,1.4,3.0,10.2,6.4,0.1,1.9,1.0,2.9,8.8,5.7,623,652,"1,275"
Looking after family/home,0.0,1.5,1.3,0.0,0.5,0.5,0.0,1.1,1.0,0.0,0.4,0.4,0.0,0.7,0.7,194,"2,390","2,584"
Long-term/temporarily sick/ill,0.7,4.0,2.5,0.1,2.3,1.3,0.5,2.7,1.7,0.1,1.2,0.7,0.5,2.0,1.3,951,"1,260","2,211"
Retired,0.2,0.4,0.4,0.0,0.1,0.1,0.2,0.4,0.3,0.1,0.1,0.1,0.2,0.2,0.2,"4,344","5,050","9,394"
Other inactive,0.9,5.4,3.3,0.0,1.5,0.8,0.9,4.9,3.0,0.4,0.9,0.7,0.5,4.6,2.6,281,364,645
,,,,,,,,,,,,,,,,,,
Respondent's occupation,,,,,,,,,,,,,,,,,,
Managerial and professional occupations,0.8,2.8,1.8,0.0,0.7,0.4,0.8,2.5,1.6,0.1,0.6,0.4,0.7,2.0,1.3,"10,280","10,877","21,157"
Intermediate occupations,0.5,1.8,1.2,0.2,0.4,0.3,0.4,1.6,1.0,0.1,0.5,0.4,0.3,1.2,0.8,"4,998","7,201","12,199"
Routine and manual occupations,0.5,2.6,1.5,0.0,0.7,0.4,0.4,2.2,1.2,0.2,0.6,0.4,0.2,1.8,1.0,"8,002","8,693","16,695"
Never worked and long-term unemployed,0.7,3.7,2.7,0.0,1.2,0.8,0.7,3.0,2.3,0.7,1.3,1.1,0.0,2.6,1.8,391,"1,025","1,416"
Full-time students,4.2,11.6,8.0,0.5,2.8,1.7,4.2,10.8,7.6,0.5,2.0,1.3,4.0,9.9,7.0,887,"1,030","1,917"
Not classified,0.0,2.9,1.3,0.0,0.3,0.1,0.0,2.9,1.3,0.0,0.3,0.1,0.0,2.7,1.2,216,215,431
,,,,,,,,,,,,,,,,,,
Highest qualification,,,,,,,,,,,,,,,,,,
Degree or diploma,0.9,3.5,2.2,0.1,0.8,0.4,0.9,3.1,2.0,0.2,0.9,0.5,0.7,2.5,1.7,"11,143","13,527","24,670"
Apprenticeship or A/AS level,1.3,4.2,2.6,0.2,1.2,0.6,1.2,3.8,2.3,0.3,0.6,0.4,1.0,3.7,2.2,"5,423","4,551","9,974"
O level/GCSE,0.6,2.8,1.8,0.0,0.9,0.5,0.6,2.3,1.5,0.2,0.7,0.4,0.4,1.8,1.2,"4,305","6,197","10,502"
Other,0.2,1.0,0.6,0.1,0.4,0.2,0.1,0.7,0.4,0.1,0.4,0.3,0.0,0.6,0.3,"1,018","1,093","2,111"
No qualifications,0.5,1.7,1.1,0.0,0.5,0.3,0.4,1.4,0.9,0.2,0.4,0.3,0.4,1.0,0.7,"2,836","3,589","6,425"
,,,,,,,,,,,,,,,,,,
Disability5,,,,,,,,,,,,,,,,,,
Disabled,0.9,5.0,3.3,0.2,1.9,1.2,0.8,4.2,2.7,0.3,1.2,0.8,0.7,3.4,2.2,"3,471","5,065","8,536"
Not disabled,0.9,2.8,1.8,0.1,0.6,0.3,0.8,2.5,1.6,0.2,0.6,0.4,0.7,2.1,1.4,"21,206","23,850","45,056"
,,,,,,,,,,,,,,,,,,
Religion,,,,,,,,,,,,,,,,,,
No religion,1.1,4.6,2.7,0.1,1.1,0.6,1.0,4.0,2.4,0.2,0.9,0.5,0.8,3.5,2.1,"10,998","10,978","21,976"
Christian,0.6,2.2,1.5,0.1,0.5,0.3,0.6,1.9,1.3,0.2,0.6,0.4,0.5,1.5,1.1,"11,818","16,065","27,883"
Buddhist,0.0,4.6,2.5,0.0,2.1,1.1,0.0,4.6,2.5,0.0,0.0,0.0,0.0,4.6,2.5,94,131,225
Hindu,0.2,2.1,1.1,0.0,0.5,0.2,0.2,1.7,0.9,0.0,0.9,0.4,0.2,0.8,0.5,412,388,800
Muslim,0.4,2.0,1.1,0.2,0.8,0.5,0.3,1.9,1.0,0.0,0.8,0.4,0.2,1.4,0.8,"1,012",968,"1,980"
Other,2.9,5.8,4.3,0.2,2.7,1.5,2.8,4.9,3.8,0.7,2.4,1.5,2.3,3.2,2.8,386,424,810
,,,,,,,,,,,,,,,,,,
"Sexual orientation6,7",,,,,,,,,,,,,,,,,,
Heterosexual/straight,0.7,2.8,1.8,0.0,0.7,0.4,0.7,2.4,1.5,0.2,0.6,0.4,0.5,2.0,1.3,"23,000","26,909","49,909"
Gay/Lesbian,4.7,8.3,6.2,1.0,1.4,1.2,4.2,7.9,5.7,0.4,0.3,0.3,4.2,7.6,5.5,491,346,837
Bisexual,7.9,15.4,12.6,2.0,3.6,3.0,7.9,14.4,12.0,0.2,4.2,2.7,7.7,13.3,11.2,275,493,768
Other,1.3,6.0,3.9,1.3,3.4,2.5,0.0,5.5,3.1,0.0,2.5,1.4,0.0,5.5,3.1,115,172,287
,,,,,,,,,,,,,,,,,,
Hours out of home on an average weekday,,,,,,,,,,,,,,,,,,
Less than 3 hours,0.5,1.6,1.2,0.0,0.6,0.4,0.4,1.3,0.9,0.1,0.5,0.4,0.3,0.9,0.7,"4,811","7,601","12,412"
3 hours or more but less than 7 hours,1.0,2.7,2.1,0.2,0.7,0.5,1.0,2.3,1.8,0.2,0.5,0.3,0.8,2.0,1.6,"5,036","9,221","14,257"
7 hours or longer,0.9,4.3,2.3,0.1,1.0,0.5,0.9,3.9,2.1,0.2,1.0,0.6,0.7,3.4,1.8,"14,831","12,116","26,947"
,,,,,,,,,,,,,,,,,,
Number of evening visits to pub/bar in the last month,,,,,,,,,,,,,,,,,,
None,0.5,1.8,1.2,0.1,0.6,0.4,0.4,1.5,1.0,0.1,0.6,0.4,0.4,1.1,0.8,"10,660","14,830","25,490"
Less than once a week ,0.9,3.3,2.1,0.1,0.7,0.4,0.8,2.9,1.9,0.3,0.7,0.5,0.6,2.5,1.6,"8,134","9,921","18,055"
Once a week or more often,1.5,7.0,3.7,0.1,1.5,0.7,1.4,6.4,3.4,0.2,1.2,0.6,1.3,5.9,3.1,"5,970","4,281","10,251"
,,,,,,,,,,,,,,,,,,
Number of visits to a nightclub/disco in the last month,,,,,,,,,,,,,,,,,,
None,0.6,2.2,1.4,0.1,0.6,0.4,0.5,1.9,1.2,0.2,0.6,0.4,0.4,1.5,0.9,"23,121","27,365","50,486"
1-3 times a month,2.6,13.2,7.7,0.4,2.9,1.6,2.4,11.9,7.0,0.3,1.7,1.0,2.2,11.3,6.5,"1,402","1,492","2,894"
4+ times a month,9.0,19.5,13.2,0.1,1.5,0.7,9.0,19.5,13.2,1.3,2.9,2.0,9.0,19.5,13.2,245,181,426
