Borough,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Richmond upon Thames,"15,504","14,683","16,057","16,814","15,446","15,320","14,891","13,408","12,073","11,885","11,529","11,734","12,012","11,803","10,518","10,788","10,729","9,780"
Southwark,"43,734","40,447","45,707","45,960","46,276","43,771","41,432","39,713","40,029","39,266","37,048","36,252","34,475","32,747","31,195","30,130","31,422","27,529"
Sutton,"14,493","13,938","15,359","14,987","16,154","16,942","16,077","15,408","13,340","13,831","13,033","12,408","11,736","11,188","10,401","10,974","10,949","9,102"
Tower Hamlets,"34,071","35,070","37,273","41,124","39,188","36,329","33,756","32,627","30,892","27,710","26,990","28,652","29,452","29,082","27,139","27,348","28,752","26,005"
Waltham Forest,"27,035","25,771","30,260","32,264","30,912","29,491","30,143","28,927","25,751","26,240","27,266","27,539","24,876","24,478","22,097","20,782","21,799","17,899"
Wandsworth,"35,527","34,756","35,717","36,204","33,567","31,641","30,130","30,039","27,299","25,088","25,469","24,723","24,392","25,445","22,241","22,583","23,292","20,809"
Westminster,"87,615","83,379","86,270","86,151","79,296","79,338","71,582","66,267","63,934","63,331","64,022","63,996","66,315","62,014","54,054","48,279","49,204","42,414"
Heathrow,"6,717","6,490","6,371","6,323","6,071","6,168","6,024","5,053","4,402","3,817","3,283","2,950","3,079","2,698","2,484","3,128","3,077","2,795"
Inner London,"537,810","523,929","558,919","567,070","546,653","517,540","491,150","464,361","438,570","421,210","413,218","412,747","411,639","395,150","357,143","355,735","374,203","325,810"
Outer London,"471,689","463,187","491,223","506,484","508,203","491,413","486,951","452,365","419,060","419,884","412,905","407,264","399,908","373,718","341,178","350,446","363,364","314,694"
